username	avr_words_pr_tweet	favourites_count	followers	friends_count	listed_count	recorded_tweets	retweet_count	statuses_count	advertiser
Claire Kely	25	2795	254	1186	0	1	1	858	0
دِيــر☁️	8	9923	634	359	2	1	1	17013	0
FIFA 19 FUT	10	1950	149390	163	315	15	0	11552	1
Domino's Poitiers	8	88	74	135	0	1	0	247	0
RecMaine	13	3	12	46	0	1	0	55	0
Jim Sweeney	13	39	636	515	35	1	0	5538	0
RLS	24	13393	2540	3356	82	1	1	28092	0
Missy Mono	1	61349	1777	2009	5	1	0	62167	0
✨Chloe Cage ✨AVNS 2019✨	22	8361	2608	430	21	4	4	11013	0
Barbara Bond	25	19774	1861	3651	51	1	1	11233	1
Tracy Gibson	17	23674	1361	1282	23	1	0	8145	0
Caleb	19	10091	120	179	1	5	2	2785	1
Lj	21	30402	482	653	12	1	1	31302	0
柴多かおる	21	30	8	188	0	1	1	154	0
Li	22	10548	72	114	0	2	1	106	0
19 August	26	620	345	366	3	1	1	6528	0
Ben Kallos	18	1169	5146	711	219	1	0	7912	1
Lu	27	181943	600	744	4	1	1	162382	0
Juana🇻🇪⚘	12	151080	11086	9289	91	2	1	173440	0
dawn wozniak	25	20021	293	334	0	1	1	7728	0
Luana Slonecker	17	0	3	276	0	1	1	25	1
EHA News	5	0	9542	4	116	1	0	10550	0
K Birchfield	20	13737	69	178	0	1	1	2903	0
Robert Dancer	14	31507	299	1842	0	1	1	12203	0
KATARINA	14	709	13150	381	16	2	0	1164	0
elio bora	14	913	15	112	0	2	2	1410	1
Buy Insulation	14	1435	1448	1492	10	1	0	574	1
LF	14	531	96	432	6	1	0	1345	0
BettyShekartjewelry	19	155	526	741	45	1	0	3181	1
JW Watkins	18	5025	1910	3798	22	1	0	2709	0
LILLIAN TERWILLIGER	24	7344	3363	4982	13	1	1	24256	0
Circle-Vision 360	24	28099	639	272	20	1	1	29995	0
LA	17	47635	4231	4603	26	4	3	18327	1
SocialJusticeWarriorPrincess ⚔️	20	81526	1843	2719	88	1	1	58131	0
Pilar Merkel	17	0	0	0	0	1	1	31	1
Boyzee Lizza 🇿🇦	5	5822	603	316	2	2	0	1790	0
navard mickael	5	68	247	3968	48	1	0	17207	0
Virtual Oracle - Movies & Gaming News & Updates	19	12	85	15	2	1	0	6090	1
Tom Bradley Jr. 📚	22	13569	8560	6501	286	1	0	21319	0
LW	20	557	13	182	1	1	1	492	0
A∫her Hurowitz 📚	21	3509	64	250	0	1	1	1496	0
Betsy 🥧🍂🦃	24	2620	3077	1160	25	1	1	12511	0
Bethany Bitner	17	61	8	68	0	1	0	155	0
HD SPORTS	5	1451	25	80	0	1	1	549	0
Stephen McDonnell	1	6488	545	684	59	1	0	24359	0
Pfaffle Renetta	17	0	0	473	0	1	1	99	1
Luxebyhughrice	10	94	34	97	0	3	0	56	0
Will Easton	14	5102	550	1042	49	1	0	2963	0
Darius The Nerd	10	0	0	3	0	1	0	1	1
BtsLovesArmy	23	1507	58	429	0	1	1	1154	0
' هتوف🗺🇺🇸	6	31478	440	820	2	3	2	6498	0
🇷🇸🇷🇺⭐Aleksa Đurič🎄🇮🇪🇲🇪	6	62448	1099	1855	3	1	1	40482	0
mikepingel	24	1922	855	2228	22	1	0	2843	1
Pam Nunez	18	26370	868	890	0	3	3	31070	0
Enterprise Nation	21	8069	46636	5527	1646	1	0	63606	0
roodvoorn	16	20140	868	394	19	1	1	55868	0
♕ DeduiceDesigns ♕	17	2846	3521	2733	42	1	0	51015	1
Kiriko	17	1126	262	251	9	1	1	1202	0
god.dess.x🦋	26	11500	2855	2857	3	1	1	9393	0
Melissa O. Sanchez	2	18	12	48	0	1	0	33	0
Rey👑Perez | #1 Global Branding Expert	23	1700	5004	3193	265	1	0	12635	0
Vernia Webster	17	0	1	131	0	1	1	8	1
Papas BBQ	17	3589	1469	685	63	4	0	8841	1
BeckyLemay	19	161901	2790	4988	38	1	1	50156	0
Jerrett howard	16	3404	244	260	1	1	1	2081	0
Breaking News UT	11	343	905	886	0	1	0	343	0
🍂🍁 Moon Kestrel🦊🌕	22	8103	1524	467	3	1	1	4717	0
Dawes Blanche	17	0	2	215	0	1	1	57	1
umutyyy	20	5325	26	99	1	1	1	5558	0
💛🐆 Tiggy ♿️💜	16	335349	569	223	84	1	1	78161	0
Boxer Orwell	23	551	56	200	0	1	0	539	0
Yoda	16	16007	594	785	16	1	1	20849	0
Mary A. DuQuaine	20	97	1713	2421	181	1	0	3122	0
cash carter 📚👬😻	15	37115	312	342	3	1	1	24203	0
stephanie foreman	22	4599	481	640	10	1	1	3228	0
Don Carlos	14	5502	1007	4715	6	1	1	3427	0
Zachary Lahay	22	308	30	199	0	1	1	660	0
Anjali	22	26	1	17	0	1	1	20	0
Mia Nill	17	58828	364	947	4	1	1	22828	0
CWISL	22	1632	769	858	33	1	1	3251	0
Toni De Kíriko	20	3062	44	79	1	1	1	889	0
👑XHOSA PAPI 🍫	15	3069	46837	17094	97	2	2	28842	0
BlueVotr	22	21191	21385	18711	29	1	1	10856	1
Willy	14	2449	307	630	22	3	0	74086	0
EvolvE	20	1338	24361	2301	40	2	2	12393	1
Watering Hole	23	11	6	38	0	1	0	307	0
Absinthe of Faith	13	18338	2133	1786	11	1	0	12973	0
Essence of Harris	24	2977	1439	1378	23	1	1	1975	0
Luis#AGaloparAGalopar	7	4187	3513	4625	58	1	1	138255	0
ColtonthePhantom13	14	116	23	102	0	1	0	239	0
Ashampoo	19	9956	12551	8104	154	1	0	7134	0
Jen Ann	22	16048	945	1292	1	1	1	4046	0
Don Whitley	23	2894	582	1142	1	1	1	2750	0
RonSommers	21	429	48	79	0	1	1	682	0
@AssetReadingAdvocate	4	766	60	262	0	1	0	352	0
Outright Games	15	434	1337	138	11	4	0	383	0
Shane Trimby	9	2	1090	1245	51	1	0	8490	0
Max Villalobos	17	560	554	490	1	1	1	30379	0
Tom Byrne	18	5371	7299	420	73	1	1	5375	0
Justin Bush	19	4519	89	440	0	1	1	826	0
☘	14	97	18	33	0	1	1	213	1
A Yorkshire Girl	19	2904	1745	2723	52	1	0	2953	0
Gordie Gordon	19	1740	17771	18065	81	1	1	67407	0
Theeman Freeman🤴🏾💹🎭🇭🇹	15	15351	293	771	2	1	1	17658	1
Byers Engineering	22	305	151	666	1	1	0	155	0
Abbott	8	614	57	99	1	1	0	654	0
Greystone Advisory	25	12	31	154	1	1	1	18	1
Devart Software	21	762	1564	1842	97	1	0	4149	1
Mandi Rodriguez	17	0	0	0	0	1	1	12	1
Tiana's little chaos	20	706	90	190	0	21	0	301	1
Catherine Montgomery	20	36896	1670	908	211	1	1	48398	1
saif ali khan	9	11192	201	229	5	1	0	6699	0
Kim Klinkovsky	19	442	815	2433	51	1	0	39778	1
Alexandre Lemille	21	3524	3175	2383	390	1	0	10713	0
fia	25	8892	846	177	2	1	1	7540	0
🌸 Pink Lady 4 Trump🌸	13	376678	48778	31198	153	1	0	172953	0
Fanana Mlambokatzi	26	14113	1707	259	22	1	1	36018	0
Sadderday	11	143	633	99	3	1	1	1598	0
thexboxpoet	20	2624	1898	837	13	1	0	3241	0
Marvel & DC Power Levels	21	26	1	88	0	1	1	8	1
Neal’s Yard Remedies with Alison Preston🎈	18	2803	258	437	1	13	6	1901	1
Rachel  Lewter	19	42402	2459	4924	180	3	3	61540	1
Kyle Jennings	17	0	1	230	0	1	1	7	1
Benzion Lin	17	0	0	0	1	1	1	24	1
Pablo Javier	20	425	122	538	5	1	0	347	0
Nancy Kohlman	20	23438	661	4998	10	1	1	15217	0
Miss Tisani	11	5251	2357	2151	13	1	0	28486	0
Ryno Jonker	13	1282	227	1198	0	2	2	2277	0
Lisha Goldman	17	0	1	0	0	1	1	86	1
#elevenseshour	25	22463	2147	675	242	1	1	42187	0
Lynn 🍑🍑 🇲🇲	10	12262	226	758	0	1	1	3020	1
MarkRichford RexMark	11	51881	3856	4424	8	1	1	139918	0
Sally evens	19	27180	211	158	1	1	1	19309	0
Mom Succeeds	13	432	1415	2109	7	2	0	621	1
Kyle Andrews	20	447	106	200	11	1	0	1489	0
Catarina Kozlov	17	0	0	0	0	1	1	93	1
🌻Carly Stroman🌻	24	314500	37791	21793	109	1	1	134225	0
bring_pat	6	333	58	217	0	1	0	1011	0
Gary Smith Art	13	226	42	54	0	1	1	203	0
Hi5	6	2475	489	450	107	1	0	2563	0
LaTonya Story	18	935	10153	1995	333	1	0	63840	0
Nostaya	19	670	25	12	0	2	1	51	0
Koren Clarisa	17	0	0	32	0	1	1	47	1
Darlene Krause	17	0	0	0	0	1	1	19	1
Call me Mel	27	3698	7920	8254	75	1	1	49791	1
Outspoken_E	17	43913	4824	4918	24	1	1	60351	0
Brian Osuch	18	58	697	703	15	2	1	223	0
⚃♲ 🄶🄰🅁🄾🅃🄰🅂♲⚃	18	12	124173	34	703	1	1	28257	1
Vodacom	20	10683	411771	7974	690	2	0	196583	0
Nicole collett	10	1	0	28	0	1	0	5	0
Dee ✌🏻	23	1447	679	163	8	1	0	2363	0
Karen Cehulic Eichinger	25	128980	2998	4842	89	1	1	42147	1
Russell Varner	13	65868	1090	1551	52	1	0	45605	0
ingrid	22	3782	360	290	3	1	1	22236	0
Lanre AbdulSalam	17	2727	143	488	1	1	1	1532	0
Mī§§ Ķïţťëh	13	53330	2137	1554	57	1	1	23136	0
Fulufhelo	16	734	350	437	1	1	1	3163	0
Karl Hines	17	10546	6062	5977	53	1	1	18967	0
Lou D	20	36673	467	893	2	1	1	1811	0
Margareta Pittman	18	0	1	227	0	2	2	53	1
Cosplay Sewing School by Ariana Bauer	15	491	165	281	10	1	1	135	0
ResourceMate	17	295	163	805	3	1	0	185	1
